date,open,close,high,low,volume,money,change,adjclose,symbol
2019-10-28,5343.5,5425.75,5425.75,5343.44,136224883.0,129515028480.0,1.55,5425.75,sh000852
2019-10-29,5434.31,5366.75,5434.31,5366.75,155004457.0,145139351552.0,1.25,5366.75,sh000852
2019-10-30,5349.08,5313.42,5351.86,5301.64,139966477.0,130346024960.0,0.94,5313.42,sh000852
2019-10-31,5310.66,5253.88,5329.2,5252.17,119979825.0,114532028416.0,1.45,5253.88,sh000852
2019-11-01,5234.75,5303.99,5308.93,5227.11,106994988.0,102087110656.0,1.56,5303.99,sh000852
2019-11-04,5316.6,5337.08,5365.59,5316.6,114489487.0,115854266368.0,0.92,5337.08,sh000852
2019-11-05,5341.17,5352.06,5362.44,5306.05,113885647.0,114846793728.0,1.06,5352.06,sh000852
2019-11-06,5348.45,5304.84,5356.31,5286.44,111174349.0,110315089920.0,1.31,5304.84,sh000852
2019-11-07,5300.67,5340.17,5347.66,5294.2,96695460.0,99247550464.0,1.01,5340.17,sh000852
2019-11-08,5361.27,5321.78,5375.06,5318.77,104093934.0,107787206656.0,1.05,5321.78,sh000852
2019-11-11,5289.63,5183.57,5289.63,5175.62,106907295.0,101788717056.0,2.14,5183.57,sh000852
2019-11-12,5183.48,5196.72,5196.72,5123.3,93959974.0,87981789184.0,1.42,5196.72,sh000852
2019-11-13,5188.88,5181.49,5200.24,5160.33,86654400.0,83519545344.0,0.77,5181.49,sh000852
2019-11-14,5180.31,5216.64,5229.09,5177.11,89584835.0,89861873664.0,1.0,5216.64,sh000852
2019-11-15,5208.37,5152.56,5220.06,5152.56,94729428.0,94989488128.0,1.29,5152.56,sh000852
2019-11-18,5147.03,5189.35,5192.85,5139.96,85671862.0,84279222272.0,1.03,5189.35,sh000852
2019-11-19,5192.68,5286.15,5286.15,5187.77,104374167.0,103179259904.0,1.9,5286.15,sh000852
2019-11-20,5281.85,5259.47,5303.93,5251.08,106261069.0,105897648128.0,1.0,5259.47,sh000852
2019-11-21,5238.6,5250.67,5274.23,5228.26,92923715.0,87003103232.0,0.87,5250.67,sh000852
2019-11-22,5255.43,5181.11,5296.33,5157.55,115747889.0,110942789632.0,2.64,5181.11,sh000852
2019-11-25,5179.15,5151.37,5185.45,5107.51,106053788.0,94917935104.0,1.5,5151.37,sh000852
2019-11-26,5154.92,5147.73,5170.49,5131.54,91068910.0,81766793216.0,0.76,5147.73,sh000852
2019-11-27,5138.06,5145.97,5170.6,5121.32,91864499.0,84266475520.0,0.96,5145.97,sh000852
2019-11-28,5142.38,5131.13,5165.65,5120.55,85094016.0,78914007040.0,0.88,5131.13,sh000852
